# BUSCO version is: 3.0.2 
# The lineage dataset is: saccharomycetales_odb9 (Creation date: 2016-02-13, number of species: 30, number of BUSCOs: 1711)
# To reproduce this run: python /groups/itay_mayrose/liorglic/miniconda3/envs/NGS_course/bin/run_busco -i scaffolds.fasta -o BUSCO -l /groups/itay_mayrose/nosnap/liorglic/NGS_course/master/lesson6/saccharomycetales_odb9/ -m genome -c 30 -sp saccharomyces_cerevisiae_S288C
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG092E002L	Complete	NODE_44_length_93162_cov_37.878237	14732	21169	3594.8	1906
EOG092E003C	Complete	NODE_28_length_124187_cov_40.500371	64786	71487	3764.0	1938
EOG092E003R	Complete	NODE_12_length_177874_cov_37.650813	160143	166787	3708.8	1856
EOG092E004V	Complete	NODE_38_length_105757_cov_40.328830	49842	55544	2099.5	1542
EOG092E0056	Complete	NODE_22_length_146985_cov_40.567195	80410	85461	1397.3	1281
EOG092E006L	Complete	NODE_88_length_40463_cov_38.476836	28473	33434	2935.9	1523
EOG092E006M	Complete	NODE_27_length_128337_cov_38.689777	98263	103233	1880.2	1154
EOG092E008X	Complete	NODE_51_length_87655_cov_37.439829	72673	77619	1512.5	1218
EOG092E0093	Complete	NODE_40_length_103526_cov_38.150216	21306	27220	3216.7	1712
EOG092E00BH	Complete	NODE_51_length_87655_cov_37.439829	31007	35389	2563.6	1272
EOG092E00D4	Complete	NODE_7_length_204331_cov_37.767266	12754	17508	1549.2	1112
EOG092E00DZ	Complete	NODE_20_length_155575_cov_37.679559	70538	74611	1405.3	1076
EOG092E00EB	Complete	NODE_4_length_296178_cov_37.378083	186998	191356	1687.9	1047
EOG092E00FY	Complete	NODE_4_length_296178_cov_37.378083	275577	279674	1111.3	1104
EOG092E00IH	Complete	NODE_11_length_195637_cov_39.932688	121259	125257	1656.3	1082
EOG092E00IR	Complete	NODE_8_length_203896_cov_38.927669	188543	192619	2117.5	1129
EOG092E00IX	Complete	NODE_26_length_128386_cov_37.385480	43087	46722	1099.2	786
EOG092E00JH	Complete	NODE_31_length_116437_cov_44.059013	40135	44202	1966.7	1013
EOG092E00KQ	Complete	NODE_30_length_120878_cov_43.023795	59287	63693	1835.0	1071
EOG092E00MC	Complete	NODE_6_length_246120_cov_37.254880	73787	77449	703.0	831
EOG092E00MO	Complete	NODE_11_length_195637_cov_39.932688	95094	98957	1542.3	901
EOG092E00MX	Complete	NODE_26_length_128386_cov_37.385480	3790	8910	2170.0	1054
EOG092E00P3	Complete	NODE_13_length_175709_cov_37.194718	145184	148870	1466.4	993
EOG092E00PZ	Complete	NODE_84_length_43240_cov_38.483084	749	4441	1310.2	977
EOG092E00TC	Complete	NODE_7_length_204331_cov_37.767266	69187	72543	1912.4	977
EOG092E00UI	Complete	NODE_29_length_123016_cov_37.091745	118150	121500	435.8	541
EOG092E00UK	Complete	NODE_8_length_203896_cov_38.927669	56141	59386	1023.5	906
EOG092E00V4	Complete	NODE_1_length_449352_cov_38.101223	201696	205323	628.0	797
EOG092E00VC	Complete	NODE_55_length_81905_cov_48.194246	74376	77594	1811.2	950
EOG092E00WY	Complete	NODE_81_length_46679_cov_37.465876	24612	27890	1393.5	834
EOG092E00Y9	Complete	NODE_3_length_358462_cov_38.441710	272600	276052	587.4	735
EOG092E010F	Complete	NODE_37_length_106147_cov_39.123789	42259	45675	902.7	638
EOG092E0127	Complete	NODE_14_length_166516_cov_37.805690	36557	42076	159.5	462
EOG092E012Q	Complete	NODE_3_length_358462_cov_38.441710	96847	99891	1805.2	892
EOG092E012X	Complete	NODE_10_length_202365_cov_37.197761	24851	27892	724.2	710
EOG092E013Z	Complete	NODE_33_length_110769_cov_38.314531	79091	82060	1276.5	821
EOG092E014D	Complete	NODE_17_length_162010_cov_37.467976	122212	125382	1801.9	949
EOG092E015E	Complete	NODE_5_length_269732_cov_38.018630	122011	125016	1671.0	883
EOG092E015U	Complete	NODE_65_length_69438_cov_37.092645	27666	30629	1490.6	820
EOG092E017U	Complete	NODE_34_length_108592_cov_37.662493	58273	61350	812.0	730
EOG092E018S	Complete	NODE_2_length_376067_cov_37.491936	67956	71087	861.2	676
EOG092E019I	Complete	NODE_11_length_195637_cov_39.932688	111605	114532	1271.1	829
EOG092E01AQ	Complete	NODE_29_length_123016_cov_37.091745	110245	113139	1236.1	786
EOG092E01BF	Complete	NODE_44_length_93162_cov_37.878237	60079	63684	1820.4	1042
EOG092E01BH	Complete	NODE_41_length_103215_cov_37.184383	54827	58003	1878.6	954
EOG092E01CD	Complete	NODE_7_length_204331_cov_37.767266	29408	32554	1037.2	832
EOG092E01CN	Complete	NODE_3_length_358462_cov_38.441710	317681	320521	1022.1	743
EOG092E01CV	Complete	NODE_20_length_155575_cov_37.679559	118353	121460	947.9	710
EOG092E01EH	Complete	NODE_2_length_376067_cov_37.491936	112756	115242	293.2	451
EOG092E01FI	Complete	NODE_84_length_43240_cov_38.483084	14715	17984	1543.2	987
EOG092E01GF	Complete	NODE_46_length_91379_cov_42.106763	10355	13063	1447.6	777
EOG092E01GH	Complete	NODE_53_length_84142_cov_39.096139	50354	53272	1029.4	800
EOG092E01JR	Complete	NODE_6_length_246120_cov_37.254880	214108	216696	504.6	512
EOG092E01K6	Complete	NODE_56_length_80822_cov_38.632325	76515	79322	1246.5	806
EOG092E01KS	Complete	NODE_32_length_114727_cov_40.819494	64576	67428	1463.7	802
EOG092E01LL	Complete	NODE_10_length_202365_cov_37.197761	135227	137917	612.1	581
EOG092E01MA	Complete	NODE_57_length_78326_cov_37.604541	74786	77488	1318.6	787
EOG092E01Q5	Complete	NODE_9_length_202726_cov_40.339476	30635	33091	1065.1	698
EOG092E01QS	Complete	NODE_16_length_162425_cov_39.423108	138422	141193	785.0	635
EOG092E01QT	Complete	NODE_73_length_62185_cov_37.731820	53252	56957	1367.4	812
EOG092E01SA	Complete	NODE_14_length_166516_cov_37.805690	18673	21300	582.1	607
EOG092E01SJ	Complete	NODE_61_length_72850_cov_38.935820	64561	67835	1300.3	695
EOG092E01SS	Complete	NODE_17_length_162010_cov_37.467976	134118	136658	613.4	607
EOG092E01TN	Complete	NODE_60_length_76343_cov_37.782272	11908	14535	1159.5	784
EOG092E01U5	Complete	NODE_89_length_39876_cov_37.342809	4387	5721	314.1	283
EOG092E01VL	Complete	NODE_30_length_120878_cov_43.023795	76159	78564	590.7	543
EOG092E01WO	Complete	NODE_15_length_165883_cov_37.897617	125531	128227	750.3	625
EOG092E01YA	Complete	NODE_32_length_114727_cov_40.819494	41039	44290	1377.8	888
EOG092E01Z9	Complete	NODE_22_length_146985_cov_40.567195	63352	65820	555.7	545
EOG092E01ZV	Complete	NODE_32_length_114727_cov_40.819494	33789	37187	521.0	797
EOG092E01ZY	Complete	NODE_76_length_54570_cov_38.027607	29325	31838	1168.5	683
EOG092E0201	Complete	NODE_12_length_177874_cov_37.650813	66218	68701	833.9	597
EOG092E0217	Complete	NODE_11_length_195637_cov_39.932688	187721	190306	1249.5	764
EOG092E021E	Complete	NODE_88_length_40463_cov_38.476836	10809	13226	795.4	532
EOG092E021H	Complete	NODE_3_length_358462_cov_38.441710	54724	57255	1519.3	693
EOG092E0232	Complete	NODE_1_length_449352_cov_38.101223	55948	58173	682.2	579
EOG092E0242	Complete	NODE_53_length_84142_cov_39.096139	12370	15015	738.5	568
EOG092E024N	Complete	NODE_8_length_203896_cov_38.927669	38125	40626	1014.1	669
EOG092E024S	Complete	NODE_78_length_49069_cov_37.337924	9555	12434	919.4	666
EOG092E024Y	Complete	NODE_11_length_195637_cov_39.932688	76879	79698	1381.7	836
EOG092E024Z	Complete	NODE_120_length_14186_cov_36.612908	1983	4547	861.5	627
EOG092E025V	Complete	NODE_9_length_202726_cov_40.339476	27387	30368	1336.6	756
EOG092E0278	Complete	NODE_2_length_376067_cov_37.491936	293307	295952	632.1	661
EOG092E02CK	Complete	NODE_36_length_107630_cov_38.520744	68026	70800	579.3	686
EOG092E02DU	Complete	NODE_61_length_72850_cov_38.935820	21121	23424	1349.6	694
EOG092E02E3	Complete	NODE_26_length_128386_cov_37.385480	52173	54671	848.6	651
EOG092E02EG	Complete	NODE_45_length_92879_cov_39.059672	69807	72578	1531.8	796
EOG092E02EP	Complete	NODE_67_length_66048_cov_38.081266	4940	7555	787.8	736
EOG092E02F4	Complete	NODE_34_length_108592_cov_37.662493	7736	11182	916.6	592
EOG092E02F6	Complete	NODE_9_length_202726_cov_40.339476	105212	108202	798.6	624
EOG092E02FK	Complete	NODE_92_length_39131_cov_39.282142	29202	32099	758.3	535
EOG092E02G6	Complete	NODE_14_length_166516_cov_37.805690	102170	104644	719.0	595
EOG092E02H9	Complete	NODE_4_length_296178_cov_37.378083	165177	167162	547.6	545
EOG092E02I3	Complete	NODE_58_length_77084_cov_37.760739	70901	73480	660.6	687
EOG092E02J3	Complete	NODE_102_length_30522_cov_36.377917	2646	5213	792.9	629
EOG092E02J8	Complete	NODE_87_length_41711_cov_36.854763	21957	24212	1168.8	600
EOG092E02K7	Complete	NODE_3_length_358462_cov_38.441710	59581	62052	616.9	605
EOG092E02KA	Complete	NODE_1_length_449352_cov_38.101223	51049	53964	1415.4	726
EOG092E02KI	Complete	NODE_40_length_103526_cov_38.150216	10499	14089	1750.0	922
EOG092E02L1	Complete	NODE_52_length_86079_cov_37.701641	15954	18248	527.0	337
EOG092E02MK	Complete	NODE_25_length_130207_cov_38.132653	113654	115966	565.4	427
EOG092E02NI	Complete	NODE_55_length_81905_cov_48.194246	13946	17401	1603.4	945
EOG092E02NK	Complete	NODE_76_length_54570_cov_38.027607	40158	42407	789.0	550
EOG092E02NP	Complete	NODE_39_length_104501_cov_36.346954	97483	99759	1080.5	629
EOG092E02O8	Complete	NODE_62_length_71708_cov_38.523691	8097	10469	1217.0	610
EOG092E02O9	Complete	NODE_64_length_70580_cov_37.890067	46526	48955	1479.4	722
EOG092E02OR	Complete	NODE_6_length_246120_cov_37.254880	217922	220195	1158.0	646
EOG092E02PD	Complete	NODE_74_length_61744_cov_36.169576	58700	61171	629.5	584
EOG092E02PP	Complete	NODE_75_length_61241_cov_41.526264	41284	43542	1374.7	696
EOG092E02QB	Complete	NODE_18_length_158840_cov_37.599244	75348	77696	658.5	654
EOG092E02QJ	Complete	NODE_68_length_65137_cov_36.859608	47741	50149	1110.9	671
EOG092E02RT	Complete	NODE_67_length_66048_cov_38.081266	27455	29866	652.4	614
EOG092E02RZ	Complete	NODE_44_length_93162_cov_37.878237	89803	92250	892.7	663
EOG092E02S5	Complete	NODE_28_length_124187_cov_40.500371	36157	38520	699.8	550
EOG092E02S7	Complete	NODE_97_length_34672_cov_35.609903	6783	9218	1253.5	662
EOG092E02SV	Complete	NODE_26_length_128386_cov_37.385480	24465	27266	1427.1	722
EOG092E02TB	Complete	NODE_24_length_140947_cov_37.030513	115592	117772	577.9	547
EOG092E02TG	Complete	NODE_10_length_202365_cov_37.197761	86744	89209	726.4	499
EOG092E02UZ	Complete	NODE_37_length_106147_cov_39.123789	78035	80629	558.1	626
EOG092E02VY	Complete	NODE_1_length_449352_cov_38.101223	104187	106610	1200.9	656
EOG092E02WD	Complete	NODE_24_length_140947_cov_37.030513	13933	16434	621.9	636
EOG092E02WK	Complete	NODE_11_length_195637_cov_39.932688	162089	164305	722.4	518
EOG092E02XW	Complete	NODE_43_length_93659_cov_37.563982	38578	40758	873.1	591
EOG092E02Y9	Complete	NODE_16_length_162425_cov_39.423108	69756	71870	950.8	556
EOG092E02YL	Complete	NODE_21_length_147213_cov_37.852906	50068	52437	1330.3	670
EOG092E02YQ	Complete	NODE_110_length_24404_cov_37.722042	2973	5093	1009.0	571
EOG092E030J	Complete	NODE_12_length_177874_cov_37.650813	18862	21354	696.8	620
EOG092E0313	Complete	NODE_57_length_78326_cov_37.604541	15183	17591	763.6	497
EOG092E0317	Complete	NODE_51_length_87655_cov_37.439829	16510	20328	999.1	838
EOG092E031K	Complete	NODE_58_length_77084_cov_37.760739	22087	24144	581.5	470
EOG092E031N	Complete	NODE_11_length_195637_cov_39.932688	99217	101559	1043.5	613
EOG092E031P	Complete	NODE_26_length_128386_cov_37.385480	38188	40431	1087.8	554
EOG092E031T	Complete	NODE_9_length_202726_cov_40.339476	108823	110967	1247.2	625
EOG092E031V	Complete	NODE_63_length_71111_cov_39.342181	37095	39377	606.7	681
EOG092E0327	Complete	NODE_30_length_120878_cov_43.023795	39680	42022	1401.9	670
EOG092E0335	Complete	NODE_3_length_358462_cov_38.441710	204134	206170	711.9	500
EOG092E033G	Complete	NODE_76_length_54570_cov_38.027607	32962	35439	416.9	434
EOG092E033N	Complete	NODE_34_length_108592_cov_37.662493	85971	88577	1346.2	695
EOG092E033V	Complete	NODE_1_length_449352_cov_38.101223	268256	270268	771.5	510
EOG092E033Y	Complete	NODE_22_length_146985_cov_40.567195	40643	42808	1132.9	590
EOG092E034B	Complete	NODE_62_length_71708_cov_38.523691	30372	32633	506.4	464
EOG092E034C	Complete	NODE_96_length_35225_cov_38.382570	24399	26564	546.7	405
EOG092E034E	Complete	NODE_38_length_105757_cov_40.328830	99767	102094	1135.2	631
EOG092E034P	Complete	NODE_10_length_202365_cov_37.197761	154623	156716	852.0	479
EOG092E035J	Fragmented	NODE_38_length_105757_cov_40.328830	89621	101482	965.2	593
EOG092E035K	Complete	NODE_34_length_108592_cov_37.662493	88925	92326	1248.4	761
EOG092E035M	Complete	NODE_7_length_204331_cov_37.767266	1461	3749	1103.3	629
EOG092E036K	Complete	NODE_8_length_203896_cov_38.927669	40895	43018	1218.6	611
EOG092E036M	Complete	NODE_53_length_84142_cov_39.096139	61084	63414	850.1	621
EOG092E036O	Complete	NODE_5_length_269732_cov_38.018630	237280	239649	479.7	519
EOG092E036U	Complete	NODE_79_length_47525_cov_37.539393	28727	31093	842.7	596
EOG092E0373	Complete	NODE_25_length_130207_cov_38.132653	30071	32854	644.5	623
EOG092E0387	Complete	NODE_2_length_376067_cov_37.491936	240090	242243	1148.2	593
EOG092E038Z	Complete	NODE_77_length_52030_cov_37.366965	41392	43683	531.7	536
EOG092E0395	Complete	NODE_15_length_165883_cov_37.897617	73267	75510	276.1	462
EOG092E03AH	Complete	NODE_3_length_358462_cov_38.441710	87967	91065	716.9	779
EOG092E03AP	Complete	NODE_32_length_114727_cov_40.819494	22363	24468	388.6	511
EOG092E03AU	Complete	NODE_18_length_158840_cov_37.599244	47737	49815	727.9	439
EOG092E03B7	Complete	NODE_51_length_87655_cov_37.439829	41329	43614	483.0	406
EOG092E03BJ	Complete	NODE_12_length_177874_cov_37.650813	5566	8208	311.7	464
EOG092E03BN	Complete	NODE_73_length_62185_cov_37.731820	47271	49352	1110.1	593
EOG092E03DX	Complete	NODE_2_length_376067_cov_37.491936	156653	158539	626.3	456
EOG092E03E3	Complete	NODE_7_length_204331_cov_37.767266	191505	193844	806.5	586
EOG092E03EA	Complete	NODE_34_length_108592_cov_37.662493	62247	64683	579.4	460
EOG092E03EO	Complete	NODE_38_length_105757_cov_40.328830	76680	78617	948.5	545
EOG092E03EW	Complete	NODE_11_length_195637_cov_39.932688	117838	120480	759.2	534
EOG092E03EX	Complete	NODE_58_length_77084_cov_37.760739	66931	68994	623.0	533
EOG092E03G9	Complete	NODE_24_length_140947_cov_37.030513	43172	45274	518.5	549
EOG092E03GB	Complete	NODE_10_length_202365_cov_37.197761	180718	182694	709.9	491
EOG092E03GN	Complete	NODE_10_length_202365_cov_37.197761	98272	100884	900.9	589
EOG092E03GO	Complete	NODE_47_length_90333_cov_36.846142	61063	63813	972.1	715
EOG092E03GS	Complete	NODE_26_length_128386_cov_37.385480	59238	61484	525.4	449
EOG092E03GY	Complete	NODE_10_length_202365_cov_37.197761	170573	172405	692.2	441
EOG092E03IY	Complete	NODE_41_length_103215_cov_37.184383	40364	42430	421.1	466
EOG092E03KG	Complete	NODE_36_length_107630_cov_38.520744	81454	83850	964.2	574
EOG092E03KL	Complete	NODE_5_length_269732_cov_38.018630	166415	168616	757.4	512
EOG092E03LD	Complete	NODE_25_length_130207_cov_38.132653	607	2457	330.3	320
EOG092E03LO	Complete	NODE_46_length_91379_cov_42.106763	13498	15471	459.9	290
EOG092E03M4	Complete	NODE_78_length_49069_cov_37.337924	6024	9266	713.2	643
EOG092E03OE	Complete	NODE_1_length_449352_cov_38.101223	85877	87910	630.4	490
EOG092E03P3	Complete	NODE_21_length_147213_cov_37.852906	70440	72908	501.8	329
EOG092E03PZ	Complete	NODE_31_length_116437_cov_44.059013	26463	28985	931.3	571
EOG092E03SL	Complete	NODE_46_length_91379_cov_42.106763	42851	44818	508.3	552
EOG092E03TG	Complete	NODE_39_length_104501_cov_36.346954	17090	19099	856.7	511
EOG092E03TW	Complete	NODE_68_length_65137_cov_36.859608	45045	47054	894.7	544
EOG092E03UC	Complete	NODE_60_length_76343_cov_37.782272	4162	6132	821.9	525
EOG092E03VN	Complete	NODE_16_length_162425_cov_39.423108	24479	27394	1164.2	676
EOG092E03W3	Complete	NODE_72_length_63782_cov_37.885104	38137	40314	895.3	554
EOG092E03WW	Complete	NODE_42_length_97169_cov_37.579319	71442	73472	781.8	494
